,id,rel,name,description,example
0,0,P0,no relation,there is no relation between the two entities,Banana and beef are no relation.
1,1,P17,country,sovereign state of this item (not to be used for human beings),Greenland is an autonomous territory of Denmark.
2,2,P131,located in the administrative territorial entity,the item is located on the territory of the following administrative entity. Use P276 for specifying locations that are non-administrative places and for items about events. Use P1382 if the item falls only partially into the administrative entity.,Paris is located in the Île
3,3,P27,country of citizenship,the object is a country that recognizes the subject as its citizen,Elon Musk has South African citizenship.
4,4,P150,contains administrative territorial entity,(list of) direct subdivisions of an administrative territorial entity,Los Angeles County contains the city of Los Angeles.
5,5,P577,publication date,date or point in time when a work was first published or released,The book To Kill a Mockingbird was published in 1960.
6,6,P175,performer,"actor, musician, band or other performer associated with this role or musical work",Ed Sheeran performed 'Photograph' at tonight's concert.
7,7,P569,date of birth,date on which the subject was born,"Albert Einstein was born on March 14, 1879."
8,8,P570,date of death,date on which the subject died,"Isaac Newton died on March 31, 1727."
9,9,P161,cast member,"actor in the subject production [use ""character role"" (P453) and/or ""name of the character role"" (P4633) as qualifiers] [use ""voice actor"" (P725) for voice-only role]",Tom Hanks was a cast member in the movie Forrest Gump.
10,10,P264,record label,brand and trademark associated with the marketing of subject music recordings and music videos,Sony Music Entertainment is a record label that has produced Beyoncé and Adele.
11,11,P527,has part,"part of this subject; inverse property of ""part of"" (P361). See also ""has parts of the class"" (P2670).",A car has parts such as an engine and wheels.
12,12,P361,part of,"object of which the subject is a part (if this subject is already part of object A which is a part of object B, then please only make the subject part of object A). Inverse property of ""has part"" (P527, see also ""has parts of the class"" (P2670)).",The heart is part of the human body.
13,13,P495,country of origin,"country of origin of this item (creative work, food, phrase, product, etc.)",Toyota is a company from Japan.
14,14,P19,place of birth,"most specific known (e.g. city instead of country, or hospital instead of city) birth location of a person, animal or fictional character",Newton was born in England.
15,15,P571,inception,date or point in time when the subject came into existence as defined,"The company Apple was founded on April 1, 1976."
16,16,P54,member of sports team,sports teams or clubs that the subject represents or represented,Lionel Messi is a member of FC Barcelona.
17,17,P102,member of political party,the political party of which this politician is or has been a member or otherwise affiliated,Joe Biden is a member of the Democratic Party.
18,18,P463,member of,"organization, club or musical group to which the subject belongs. Do not use for membership in ethnic or social groups, nor for holding a political position, such as a member of parliament (use P39 for that).",The European Union is a member of the United Nations.
19,19,P3373,sibling,"the subject and the object have the same parents (brother, sister, etc.); use ""relative"" (P1038) for siblings-in-law (brother-in-law, sister-in-law, etc.) and step-siblings (step-brothers, step-sisters, etc.)",Prince William and Prince Harry are siblings.
20,20,P40,child,subject has object as child. Do not use for stepchildren,Prince William and Prince Harry are children of Princess Diana.
21,21,P30,continent,continent of which the subject is a part,France lies in the west of Europe.
